Description,Class
"Overview
Change approach to embed HubSpot form in React TyprScript.
Removed the Connect Screen steps and added the HubSpot form as the next step.

Files changed, added, or deleted
Files modified
src/components/HubSpotForm/index.tsx - Update the code to embed HubSpot form.
src/components/Screens/ConnectPlatformScreen/styles.tsx Added form description styling.
src/components/Screens/ContactScreen/index.tsx Render HubSpot form as a component.
src/services/translations/en.json Add title and description for Connect Screen page.

Files added
src/global.d.ts - To fix this error S2339: Property 'hbspt' does not exist on type 'Window & typeof globalThis'. 

Screenshot/Video",Closed
"…ed generics and responses interfaces

Overview
Integrated user details api, showed description and apps name, and ed generics and responses interfaces

Files changed, added, or deleted
Files modified
src/actions/index.ts - Added responses type
src/actions/types.ts: Added types
src/api/user.ts: Fetch user details
src/components/Header/Header.tsx: Get the user details
src/components/Screens/HomeScreen/AvailableApps/apps.tsx: Showed description and name
src/components/Screens/HomeScreen/AvailableApps/index.tsx: Used generics
src/reducers/GetAvailableApps.ts: set the types
src/reducers/index.ts: Added the types
`src/sagas/user.ts: Added user saga",Merged
"Overview
Used the short description on the apps details on home.

Files changed, added, or deleted
Files modified
src/components/Screens/HomeScreen/AvailableApps/apps.tsx - Used the short_description key.

Files added
None

Screenshot/Video",Merged
"Overview
integrate connected apps api, and showed apps, showed title on available apps, showed name and email on profile dropdown,

Files changed, added, or deleted
Files modified
src/actions/index.ts - Added connected apps actions
src/actions/types.ts - Added connected apps types
src/api/apps.ts - Added connected apps api
src/components/Navbar/ProfileMenu/index.tsx - Added email and name
src/components/Screens/HomeScreen/AvailableApps/apps.tsx - Added connected apps
src/components/Screens/HomeScreen/AvailableApps/index.tsx - Added app types
src/components/Screens/HomeScreen/ConnectedApps/index.tsx - Showed connected apps

Files added
src/reducers/GetConnectedApps.ts - Added connected apps reducer
src/sagas/connected-apps.ts - Added connected apps saga",Merged
"HubSpot embedded form.

Overview
Automatically populate the hidden email field in the HubSpot embedded form using logged-in user data.

Files changed, added, or deleted
Files modified
src/components/HubSpotForm/index.tsx - fetch user data and populate the email field.
src/global.d.ts - Added a global variable to select the email input field and populate the value using JavaScript.

Files added
NO.

Screenshot/Video",Merged
"Overview
Removed all unused screens, components and links.

Files changed, added, or deleted
Files modified
src/App.tsx - Removed unused screens.
src/components/Navbar/Navbar.tsx - Removed Notification Component.
src/components/Screens/HomeScreen/AvailableApps/apps.tsx - Removed connected app card link and NavLink component.

Files added
NO

Screenshot/Video",Merged
"Overview
Updated the ConnectPlatformScreen URL router and created a relation between the page title and the app title by using the useParams hook. When users click on any available app card, the app title will become the page title on the connect platform screen.

Files changed, added, or deleted
Files modified
src/App.tsx - Updated the component path to track the app title.
src/components/Screens/ConnectPlatformScreen/index.tsx - Used the useParams hook to fetch the app title to render as page title.
src/components/Screens/HomeScreen/AvailableApps/apps.tsx - Update the app connect button URL and replace the spaces by using RegEx replace function.

Files added
No

Screenshot/Video",Merged
"Overview
Populated the user details in the profile screen and removed extra components and code from the billing screen by adding a paragraph and button to content us for billing invoice. When the user clicks on Contact us for the billing button, it will redirect the user to the Content Us page with the selected purpose of Billing Invoice.

Files changed, added, or deleted
Files modified
src/components/Screens/BillingScreen/index.tsx - Remove the plan card and cancel and upgrade plan button.
src/components/Screens/ProfileScreen/ProfileDetails.tsx - Updated the user data with the data from the backend

Files added
NEW_FILE.md - Added new file for ABC reasons

Screenshot/Video",Merged
"Overview
Hosted app logos on the hubspot test portal and fetched icons using backend data.

Files changed, added, or deleted
Files modified
README.md - Added or updated something

Files added
src/components/AppIcon/index.tsx - New component.
src/components/AppIcon/styles.tsx - Styling

Screenshot/Video",Merged
"Overview
Added back Contact platform form description. Re-position the Contact for billing button on the billing tab. Added missing styling for submit message.

Files changed, added, or deleted
Files modified
src/components/HubSpotForm/styles.tsx - Change selector for styling.
src/components/Screens/BillingScreen/index.tsx - Change the position of CTA.
src/components/Screens/ConnectPlatformScreen/index.tsx - Added form description.

Files added
No

Screenshot/Video",Merged
"I created a basic example for the usage of Redux via Redux Toolkit as recommended by Redux's official docs.

Redux Toolkit helps us in creating actions automatically, setting up Redux Dev Tools, and implementing async logic through Redux Thunks.",Closed
Header component with navbar,Merged
"Overview
Added a convention section in the Readme file for describing conventions related to file, directory, and image naming.

Files changed, added, or deleted
Files modified
README.md - Added a convention section in the Readme file for describing conventions related to file, directory, and image naming.

Screenshot/Video",Merged
"integrated i18next for the translation and added resolveJsonModule in tsconfig.json to allow the imports for .json files

services/translations/index.ts : This file will be responsible to handle all the translation throughout the app.",Merged
"Files Changed/Added/Deleted

layout.css: Commented the used code( We will remove this css later )
Footer.tsx : Imported Tabs component in footer component for testing purposes
BaseScreen/index.tsx: Added the Global wrapper and padding
BaseScreen/styles.tsx: Added css for wrapper and padding
Tabs: Added Tabs.tsx: Tabs Reusable compoennt
Tabs/styles.tsx: css for tabs
Components/index.tsx: Added Tabs component",Merged
"Overview
Created profile screen to show the user profile and billing details. Created the profile component to show details and change profile form. Created the reusable table component. Showed the billing history and plans component.

Files changed, added, or deleted

Files changed

.eslintrc.js: Increased the length of characters on single line
App.tsx: Imported the component for routing
layout.css: Removed the commented code
styles.css: added the font-family
svg/index: imported CheckIcon svg
en.json: added new translations
BaseScreen/index: Added wrapper and main for layouts
BaseScreen/styles: Added css for wrapper and padding for main
Filed added

BillingHistory.tsx: Added new file to show billing history
BillingScreen/index: to show the billing screen with plan and history
BillingScreen/styles: added style for billing screen
ProfileDetails.tsx: Show the profile details
ProfileForm: Shows the edit profile form
ProfileScreen/index: Shows the Billing and profile tabs
ProfileScreen/styles: css for the profile screen
Table/index.tsx: Created reusable component for table
Table/styles: added css for table
tabs.tsx: tabs file
check-icon.svg: added new svg icon
Screenshots",Merged
"Overview
Added the contact us component which will submit the reason and message

Files changed, added, or deleted

Files changed

App.tsx: Added route for contact us
styles.css: Added the font-family
en.json: Added new translation
Files Added

ContactScreen/index.tsx: Added the contact form with contact header
ContactScreen/styles: Added css for contact screen
Screenshots",Merged
"Overview
Developed integration connect screeen.

Files added
IntegrationConnectScreen/index.tsx
IntegrationConnectScreen/skeleton.tsx
IntegrationConnectScreen/styles.tsx
svgs/setting-gray-icon.svg
Files modified
App.tsx
en.json
svgs/index.ts
Screenshot/Video",Merged
"Overview
Added the Overview, connections and synchroniaztions tabs and also added some tokenizations

Files changed, added, or deleted
Files modified
App.tsx - Added webflow to hubspot screen route.
check-icon.svg - Added new filled check svg icon.
hubspot-icon.svg - Added new hubspot icon.
svg/index.ts - Imported new icons.
alert/index.tsx - Added tokenizaion translation.
modal/index.tsx - Created new modal component.
notification/index.tsx - Added tokenizaion translation.
contactPlatformScreen/index.tsx - Added tokenizaion translation.
HomeScreen/index.tsx - Added tokenizaion translation and link.
Table/index.tsx - Added dotted border variant and badge props.
Table/styles.tsx - Added styles for dotted border variant and badge props.
Tabs/index.tsx - Added badge props.

Files added
Connections.tsx - Created component for connections tab.
overview.tsx - Created component for overview tab.
SyncDetails.tsx - Created component for SyncDetails.
Synchronization.tsx - Created component for Synchronization screen.
WebflowToHubspotScreen/index.tsx - Created component for WebflowToHubspotScreen screen.
translation.ts - Created a function to translate variables

Screenshot",Merged
"Overview
Please include a summary of the changes and the related issue

Files changed, added, or deleted
Files modified
src/assets/css/styles.css - Added missing bootstrap classes for spacing.
src/assets/svgs/setting-gray-icon.svg - Replace icon code because of the grayscale issue.
src/components/Modal/index.tsx - Add an attribute to vertically center the popup.
src/components/Screens/BillingScreen/index.tsx - Update the position of the plan price heading.
src/components/Screens/BillingScreen/styles.tsx - Add styling for plan price heading.
src/components/Screens/ConnectPlatformScreen/index.tsx - Update the step submit actions, the step one body will hide when successful, and then the step 2 body will collapse.
src/components/Screens/ContactScreen/index.tsx - Update the success message width.
src/components/Screens/HomeScreen/index.tsx - Request an app card height issue fixed.
src/components/Screens/IntegrationConnectScreen/index.tsx - Update the page UI, and make the whole page a single card. And update the setting icon position right next to the page title.
src/components/Screens/ProfileScreen/ProfileDetails.tsx - Add functionality that when the user clicks on the edit profile button, the user details will hide.
src/components/Screens/WebflowToHubspotScreen/Connections.tsx - Fix HubSpot logo position.

Files added
No file added

Screenshot/Video
Update the step submit actions, the step one body will hide when successful, and then the step 2 body will collapse.",Merged
"Overview
Prototype related changes",Merged
"Overview
Resolved the translation keys issues.

Files changed, added, or deleted
Files modified
ConnectPlatformScreen/index.tsx - Added the translation keys for translation
IntegrationConnectScreen/index.tsx - Added the translation keys and changed the path
en.json - Added the translation missing keys

Screenshot/Video",Merged
"Overview
Fixes the feedback changes, get alt text from i18n, change settings icon, active link, contact navigation.

Files changed, added, or deleted
Files modified
setting-gray-icon.svg - Changed seetings icon
Alert/index.tsx - Added alt translation
Header.tsx - Added alt translation and added active link
Header/styles.tsx - Imported NavLink from react-router-dom
Nav/Navbar.tsx - Added contact us active link
Notification/index.tsx - Added dynamic count and made bold first notification
ProfileMenu/index.tsx - Added alt translation
Navbar/styles.tsx - Use NavLink from react router dom
Connections.tsx - Added alt translation
BillingScreen/index.tsx - Added contact us navigation
ContactPlatformScreen/index.tsx - Added alt translation
ContactScreen/index.tsx - Added by default selected values for dropdown
HomeScreen/index.tsx - Added alt translation and contact us link
IntegrationContactScreen/index.tsx - Added alt translation
ProfileDetail.tsx - Added onSuccess event to open profile details again
ProfileForm.tsx - Removed left labels and added onSuccess function
en.json - added new translation keys

Screenshot/Video",Merged
"Overview
Created activate connect screen, made accordion reusable component

Files changed, added, or deleted
Files modified
package.json - Updated webpack
App.tsx - Added activate connect route
src/assets/svgs/index.ts - Added new svg icons
src/components/Screens/IntegrationConnectScreen/index.tsx: Added link to button
en.json - Added new translation
yarn.lock - updated webpack

Files added
src/components/Accordion/index.tsx - Added new file reusable accordion component
src/components/AppsCard/index.tsx - Added new file reusable Apps card component
src/components/AppsCard/styles.tsx - Added new styles file reusable Apps card component
src/components/GlobalStyles.tsx - Added new reusable global styled components
src/components/Screens/ActivateConnectScreen/ActivateConnectStepOne.tsx - Added new component for field map accordion step one
src/components/Screens/ActivateConnectScreen/ActivateConnectStepTwo.tsx - Added new component for field map accordion step two
src/components/Screens/ActivateConnectScreen/ActivatedConnect.tsx - Added new component for activated step
src/components/Screens/ActivateConnectScreen/FieldMappingForm.tsx - Added new component for field mapping form
src/components/Screens/ActivateConnectScreen/StepsHeader.tsx - Created steps header component
src/components/Screens/ActivateConnectScreen/index.tsx - Added new component for activate connect screen

Screenshot/Video",Merged
"Overview
Create reusable popover component, and used it in field mapping step of activate connect.

Files changed, added, or deleted
Files modified
src/components/Screens/ActivateConnectScreen/FieldMappingForm.tsx - Added fields popover
en.json - Added translation

Files added
src/components/Popover/index.tsx - Added new file for popover component

Screenshot/Video",Merged
